frameIndex,localTime,globalTime
85,59966.80635686,119930.80588440168
86,59966.83967966,119930.83920720167
87,59966.87302026,119930.87254780167
88,59966.906344893,119930.90587243468
89,59966.939674701,119930.93920224268
90,59966.973009167,119930.97253670868
91,59967.006334282,119931.00586182368
92,59967.039672342,119931.03919988367
93,59967.073005976,119931.07253351768
94,59967.106325402,119931.10585294367
95,59967.13965567,119931.13918321168
96,59967.172998011,119931.17252555268
97,59967.206333362,119931.20586090369
98,59967.239661162,119931.23918870368
99,59967.272990513,119931.27251805468
100,59967.306317479,119931.30584502069
101,59967.339654688,119931.33918222968
102,59967.372975246,119931.37250278768
103,59967.406316343,119931.40584388468
104,59967.439652478,119931.43918001969
105,59967.472978451,119931.47250599269
106,59967.506313546,119931.50584108768
107,59967.539637851,119931.53916539268
108,59967.572979486,119931.57250702768
109,59967.60630575,119931.60583329169
